Artist,Tracks,Plays,Time
Pink Floyd,Speak to Me,102,122.4
Pink Floyd,Us and Them,100,760.0
The Police,Every Breath You Take,100,421.667
Yes,Owner of a Lonely Heart,100,450.0
Dire Straits,Sultans of Swing,99,575.85
Dire Straits,Money for Nothing,97,818.033
U2,Beautiful Day,97,396.083
Tool,Sober,96,489.6
Beastie Boys,Paul Revere,95,348.333
Tool,Disposition,95,452.833
Tool,Forty Six &amp; 2,95,576.333
Pink Floyd,On the Run,94,336.833
Nick Arundel,Arkham City Main Theme,92,256.067
Pink Floyd,Dogs,90,1537.5
Pink Floyd,Have a Cigar,90,460.5
Home,We're Finally Landing,89,403.467
Michael McCann,Sewers,89,384.183
Nick Arundel,"How Does It Feel, Pig?",87,201.55
Red Hot Chili Peppers,Snow (Hey Oh),86,478.733
Home,Decay,85,355.583
King Crimson,Frame by Frame,84,434.0
Mick Gordon,Harbinger,83,596.217
Dire Straits,So Far Away,82,426.4
Eagles,One of These Nights,82,375.833
Martin O'Donnell &amp; Michael Salvatori,Cloaked in Blackness,82,300.667
Linkin Park,Papercut,81,248.4
David Buckley,Arkham Knight - Main Theme,80,189.333
Mick Gordon,The Only Thing They Fear Is You,80,549.333
Muse,Supermassive Black Hole,80,278.667
Rage Against the Machine,Wake Up,79,479.267
Nick Arundel,Evening the Odds,78,286.0
The Police,Spirits in the Material World,77,229.717
Pink Floyd,Any Colour You Like,76,262.2
Radiohead,Creep,76,301.467
Dire Straits,Romeo &amp; Juliet,75,442.5
Mick Gordon,Cultist Base,75,415.0
Mick Gordon,SkullHacker,74,536.5
Radiohead,Karma Police,74,321.9
The Police,Message in a Bottle,74,358.9
Gentle Giant,Proclamation,73,495.183
Rush,Freewill,73,394.2
The Police,Invisible Sun,73,272.533
Hans Zimmer,Why So Serious?,72,667.2
Linkin Park,Points of Authority,72,240.0
Muse,Uprising,72,362.4
Red Hot Chili Peppers,Under the Bridge,72,316.8
Alexander Brandon,Main Theme,71,172.767
Keiki Kobayashi,Daredevil,70,374.5
Red Hot Chili Peppers,Give It Away,69,324.3
Camel,Air Born,68,341.133
Camel,Lady Fantasy: Encounter / Smiles for You / Lady Fantasy,68,867.0
Dire Straits,Tunnel of Love,68,553.067
Tool,Reflection,68,755.933
Camel,Supertwister,67,226.683
Michael McCann,The UTULEK Complex: Golem City,67,295.917
Gorillaz,On Melancholy Hill,66,256.3
New Order,Bizarre Love Triangle,66,288.2
Yes,Siberian Khatru,66,588.5
Gorillaz,Tomorrow Comes Today,65,209.083
Martin O'Donnell &amp; Michael Salvatori,Jeopardy,65,182.0
Michael McCann,TF29,65,278.417
New Order,Age of Consent,65,342.333
Pink Floyd,Brain Damage,65,251.333
Camel,Freefall,64,377.6
Hans Zimmer,Aggressive Expansion,64,286.933
Hans Zimmer,Like a Dog Chasing Cars,64,318.933
Martin O'Donnell &amp; Michael Salvatori,Lions and Tigers and...,64,105.6
Mick Gordon,Uac Report File; Shto36u3,64,196.267
Pink Floyd,Eclipse,64,137.6
&quot;Weird Al&quot; Yankovic,It’s All About the Pentiums,63,224.7
Martin O'Donnell &amp; Michael Salvatori,"Bravery, Brotherhood",63,93.45
The Police,Can't Stand Losing You,63,187.95
Hans Zimmer,Dust,62,352.367
Pink Floyd,Welcome to the Machine,62,466.033
Gorillaz,Clint Eastwood,61,345.667
Martin O'Donnell &amp; Michael Salvatori,Pale Rider,61,94.55
Camel,Nimrodel / The Procession / The White Rider,60,558.0
Robert Prince,At Doom's Gate,60,103.0
The White Stripes,Seven Nation Army,60,232.0
Camel,Dunkirk,58,314.167
Camel,Song Within a Song,58,417.6
Home,Billiards,58,170.133
Mick Gordon,End Of Level,58,145.0
Muse,Hysteria,58,219.433
Genesis,That's All,57,250.8
Tom Petty and The Heartbreakers,Mary Jane's Last Dance,57,259.35
Howard Shore,Into the West,56,323.867
Linkin Park,Numb,56,174.533
The Police,Walking on the Moon,55,276.833
Camel,Lunar Sea,54,497.7
Gorillaz,Empire Ants,54,254.7
Howard Shore,A Knife in the Dark,54,192.6
Linkin Park,One Step Closer,54,141.3
Martin O'Donnell &amp; Michael Salvatori,Rock in a Hard Place,54,71.1
Muse,Assassin,54,189.9
Rush,Closer to the Heart,54,157.5
Steve Miller Band,Fly Like an Eagle,54,255.6
Martin O'Donnell &amp; Michael Salvatori,Unless You Mean To Shoot,53,132.5
Mick Gordon,Demonic Corruption,53,209.35
Mick Gordon,Hellwalker,53,269.417
Pink Floyd,"Another Brick in the Wall, Pt. 2",53,210.233
Dire Straits,Communiqué,52,297.267
Michael McCann,Home,52,118.733
Rush,Fly by Night,52,175.067
Scorpions,Wind of Change,52,271.267
The Smashing Pumpkins,1979,52,230.533
Toto,Africa,52,255.667
King Crimson,Level Five,51,370.6
Pink Floyd,Pigs (Three Different Ones),51,582.25
Sting,Fields of Gold,51,185.3
Nine Inch Nails,Closer,50,310.833
Radiohead,Paranoid Android,50,319.167
Red Hot Chili Peppers,Can't Stop,50,223.333
Rush,A Farewell to Kings,50,295.0
Rush,Limelight,50,215.833
Supertramp,Goodbye Stranger,50,290.833
Dire Straits,Love Over Gold,49,307.883
Martin O'Donnell &amp; Michael Salvatori,Moon Over Mombasa,49,95.55
Michael McCann,Penthouse,49,78.4
Rush,Subdivisions,49,276.033
Red Hot Chili Peppers,Scar Tissue,48,173.6
Stephen Rippy,Shamburger,48,162.4
Martin O'Donnell &amp; Michael Salvatori,Not a Number,47,74.417
Red Hot Chili Peppers,The Zephyr Song,47,181.733
Rush,Working Man,46,329.667
Dire Straits,Walk of Life,45,189.0
Five Finger Death Punch,A Little Bit Off,45,142.5
Pink Floyd,Sheep,45,464.25
Rush,Tom Sawyer,45,207.0
The Police,King of Pain,45,224.25
Alexander Brandon,So It Begins (Deus Ex Main Title),44,117.333
Five Finger Death Punch,Sham Pain,44,153.267
Rage Against the Machine,Bulls on Parade,44,167.933
Alexander Brandon,Battery Park,43,184.183
Pink Floyd,"Shine on You Crazy Diamond, Pts. 1-5",43,581.217
Tool,Fear Inoculum,43,445.05
Led Zeppelin,The Battle of Evermore,42,245.7
Martin O'Donnell &amp; Michael Salvatori,Halo Theme Scorpion Mix,42,130.9
Nick Arundel,It Was the Joker,42,97.3
Pink Floyd,Comfortably Numb,42,267.4
The Police,Every Little Thing She Does Is Magic,42,182.0
AC/DC,Back in Black,41,174.25
Alexander Brandon,Home Base (UNATCO),41,416.15
Alexander Brandon,Reyes Gauntlet (Training Room),41,100.45
Brad Fiedel,The Terminator (Main Title),41,108.65
Foo Fighters,The Pretender,41,183.817
Gorillaz,Superfast Jellyfish,41,118.9
Hans Zimmer,Day One,41,135.983
Howard Shore,The Bridge of Khazad Dum,41,243.95
Mick Gordon,The Super Gore Nest,41,212.517
Pink Floyd,"Another Brick in the Wall, Pt. 1",41,131.2
The Police,Don't Stand So Close to Me,41,166.733
Tool,Pneuma,41,486.533
Alexander Brandon,Hong Kong Helipad,40,105.333
Alexander Brandon,Majestic 12 Laboratories,40,203.333
Pearl Jam,Black,40,225.333
Pink Floyd,Pigs on the Wing (Part 1),40,56.0
Rage Against the Machine,Know Your Enemy,40,196.667
Rush,The Spirit of Radio,40,199.333
Alexander Brandon,A Tough Decision (Lebedev's Airfield),39,137.8
Alexander Brandon,Training,39,81.25
Hans Zimmer,Mountains,39,142.35
Linkin Park,Somewhere I Belong,39,139.1
Ozzy Osbourne,Not Going Away,39,176.8
Pink Floyd,Echoes,39,917.8
Rage Against the Machine,Take the Power Back,39,219.05
Ryo Watanabe,Skies Unknown,39,60.45
Yes,Heart of the Sunrise,39,446.55
Alexander Brandon,Night Assignment (New York Streets),38,162.133
Hans Zimmer,Discombobulate,38,91.833
Home,12,38,86.767
John Paseano,Spider-Man,38,130.467
Pink Floyd,Hey You,38,176.067
The Police,So Lonely,38,183.033
Thin Lizzy,The Boys Are Back in Town,38,171.0
Dire Straits,Industrial Disease,37,215.833
Gorillaz,White Light,37,78.933
Martin O'Donnell &amp; Michael Salvatori,Infiltrate,37,141.833
Radiohead,Airbag,37,174.517
Rage Against the Machine,Bullet in the Head,37,190.55
The Police,Wrapped Around Your Finger,37,193.017
Christopher Larkin,Greenpath,36,130.2
Cream,White Room,36,180.0
Gorillaz,O Green World,36,162.6
King Crimson,Discipline,36,180.0
Ludowic,Overdose,36,159.6
Martin O'Donnell &amp; Michael Salvatori,Cryptic Whisper,36,103.2
Rage Against the Machine,Bombtrack,36,146.4
Rush,Red Barchetta,36,222.6
The Police,It's Alright For You,36,115.8
Yes,Close to the Edge,36,676.2
Alexander Brandon,Mission Critical (Unatco Combat),35,140.583
Hans Zimmer,Cornfield Chase,35,73.5
Hans Zimmer,Dream Is Collapsing,35,84.583
Home,Synchronize,35,140.0
Michael McCann,Safehouse,35,100.917
Muse,Knights of Cydonia,35,213.5
New Order,Blue Monday,35,262.5
Rage Against the Machine,Guerrilla Radio,35,120.167
The Police,Contact,35,92.167
Alexander Brandon,Paris Dance (Paris Club),34,121.267
Five Finger Death Punch,Wrong Side of Heaven,34,153.567
Hans Zimmer,Imagine the Fire,34,252.167
Hans Zimmer,Why Do We Fall?,34,69.133
Junkie XL,Bombers Over Ibiza  (Junkie XL Remix),34,198.333
Metallica,For Whom the Bell Tolls,34,175.1
Muse,Plug In Baby,34,124.667
Phil Collins,In the Air Tonight,34,190.4
Robert Prince,Nobody Told Me About Id,34,107.1
Tom Petty,Mary Jane's Last Dance,34,154.7
Alexander Brandon,Versalife,33,132.0
George Michael,Careless Whisper,33,166.1
Gorillaz,Every Planet We Reach Is Dead,33,161.15
Home,Above All,33,124.3
Home,Falling Into Place,33,124.3
Home,Flatline,33,66.55
Home,Warmth,33,97.35
Jethro Tull,Locomotive Breath,33,146.3
Linkin Park,In the End,33,118.8
Mitsuhiro Kitadani,444,33,152.35
Pink Floyd,"Another Brick in the Wall, Pt. 3",33,40.7
Rage Against the Machine,Vietnow,33,152.35
Rush,YYZ,33,146.3
Alexander Brandon,Lebedev Airfield,32,115.733
Alexander Brandon,Nicolette's Rapture (Duclare Chateau),32,107.733
Alexander Brandon,Return to Liberty Island (Liberty Island),32,150.933
Gorillaz,Stylo,32,144.0
Home,Heading Up,32,46.4
Home,New Machines,32,94.4
Home,Without A Sound,32,113.6
Rage Against the Machine,Killing in the Name,32,167.467
Red Hot Chili Peppers,Californication,32,171.2
The Animals,The House of the Rising Sun,32,144.533
Dire Straits,Lady Writer,31,113.15
Dire Straits,Why Worry,31,263.5
Hans Zimmer,Time,31,143.117
Home,Come Back Down,31,151.383
Home,Head First,31,110.05
Jethro Tull,"Thick as a Brick, Part I",31,700.6
Rage Against the Machine,Down Rodeo,31,165.333
Supertramp,Take the Long Way Home,31,160.167
U2,I Still Haven't Found What I'm Looking For,31,141.567
Alexander Brandon,Synapse Awake (The Synapse),30,127.0
Bill Kiley,Rain On Brick,30,42.0
Gorillaz,El Mañana,30,115.0
Rush,Tears,30,107.0
Alexander Brandon,Naval Base,29,70.567
DJ Electrohead,Hit The Floor,29,101.5
Ennio Morricone,The Ecstasy of Gold,29,98.117
Hans Zimmer,The Fire Rises,29,160.95
Pink Floyd,Learning to Fly,29,141.133
Stephen Rippy,I Will Beat On Your Behind,29,86.517
The Police,Deathwish,29,122.283
The Police,Synchronicity II,29,145.967
Alexander Brandon,The Illuminati Reborn (Credits),28,84.467
Gorillaz,November Has Come,28,75.133
Green Day,Whatsername,28,117.6
Home,18,28,43.4
Home,Flashlight,28,77.0
Home,Sunshower,28,82.133
Keiki Kobayashi,Dual Wielder,28,99.4
Mick Gordon,Doom Eternal,28,138.6
Muse,Invincible,28,140.0
Pink Floyd,Run Like Hell,28,122.733
Dire Straits,Ride Across the River,27,188.1
Home,2,27,47.7
Keiki Kobayashi,Yinshi Valley,27,90.45
Kevin McMullan,Shookies in the Bank,27,85.05
Led Zeppelin,Immigrant Song,27,65.7
Ludowic,Katana Zero,27,156.15
Ludowic,Panoramic Feelings,27,85.5
Michael McCann,Janus,27,129.15
Nick Arundel,I Think You Should Do as He Says,27,69.75
Pearl Jam,Jeremy,27,142.2
Steely Dan,Do It Again,27,159.75
Stephen Rippy,Machina del Diablo,27,81.0
Stephen Rippy,"Ride, Lawrence, Ride!",27,77.85
The Police,Synchronicity I,27,91.35
Alexander Brandon,Hong Kong Streets,26,112.233
Alexander Brandon,UNATCO Return (Opponent Within),26,137.367
Amon Tobin,El Cargo,26,113.967
Bill Kiley,End Of The Road,26,133.9
Camel,West Berlin,26,135.2
Muse,Undisclosed Desires,26,102.267
Radiohead,Exit Music (for a Film),26,114.833
Robert Prince,Hiding The Secrets,26,61.967
Soundgarden,Spoonman,26,106.6
Bill Kiley,Snow,25,58.333
"Bill Kiley, Justin Stander",Nocturne,25,55.417
Kazumi Totaka,Shop Channel,25,49.167
Led Zeppelin,Good Times Bad Times,25,69.167
Led Zeppelin,The Ocean,25,112.917
Metallica,Turn the Page,25,152.5
Muse,Starlight,25,99.583
Pink Floyd,See Emily Play,25,72.083
Pink Floyd,"Shine on You Crazy Diamond, Pts. 6-9",25,311.25
Smash Mouth,Walkin' On The Sun,25,85.417
Stephen Rippy,Neep Ninny-Bod (Mix 2),25,81.667
Stephen Rippy,Voodoodoodoo,25,74.583
The Clash,Rock the Casbah,25,92.5
The Police,Canary In A Coalmine,25,60.833
Alexander Brandon,Conspiracy Theory (Versalife and Majestic 12),24,118.4
Bill Kiley,A Fine Red Mist,24,28.8
Camel,Another Night,24,166.8
Christopher Larkin,Dirtmouth,24,46.0
Christopher Larkin,False Knight,24,73.6
Collective Soul,Shine,24,122.4
Home,Oort Cloud,24,82.0
Keiki Kobayashi,Siren's Song,24,84.0
Stephen Rippy,Bass Bag (Album Version),24,75.2
The Cars,Just What I Needed,24,90.0
The Police,Bombs Away,24,75.6
The Police,Roxanne,24,77.2
Vitalis Eirich,Movement Atnadev,24,74.4
&quot;Weird Al&quot; Yankovic,Amish Paradise,23,77.433
Alexander Brandon,Ambrosia Hunt (Battery Park),23,94.683
Alexander Brandon,DuClare Chateau,23,121.133
Camel,Refugee,23,87.783
Christopher Larkin,Reflection,23,37.95
Hans Zimmer,Rise,23,166.75
Metallica,One,23,170.967
Mick Gordon,BFG 10k,23,67.083
R.E.M.,Losing My Religion,23,102.733
Rush,A Passage to Bangkok,23,82.033
Stephen Rippy,"Smells Like Crickets, Tastes Like Chicken",23,69.767
Sting,Shape Of My Heart,23,106.95
The Who,Baba O'Riley,23,115.0
Vitalis Eirich,Southeast Side,23,68.617
Yes,Roundabout,23,198.183
&quot;Weird Al&quot; Yankovic,Bedrock Anthem,22,80.667
Amon Tobin,The Lighthouse,22,111.833
Asia,Only Time Will Tell,22,104.5
Christopher Larkin,Mantis Lords,22,38.5
Collective Soul,December,22,104.5
Dire Straits,Six Blade Knife,22,91.667
Foreigner,Cold as Ice,22,73.333
Lenny Kravitz,Fly Away,22,81.033
Muse,Resistance,22,126.867
New Order,Elegia,22,108.533
Ryo Watanabe,Magic Spear I,22,92.4
Stephen Rippy,Operation: Monkey,22,72.6
Stephen Rippy,T Station,22,69.667
Sting,Englishman in New York,22,97.533
Supertramp,Dreamer,22,78.1
AC/DC,T.N.T.,21,75.25
Christopher Larkin,City of Tears,21,62.3
CoLD SToRAGE,Messij,21,113.05
Dire Straits,Calling Elvis,21,135.45
Gorillaz,19-2000,21,73.5
King Crimson,Red,21,131.95
Led Zeppelin,Kashmir,21,180.95
Ludowic,V Limo (New Donk Shitty),21,35.7
Muse,Citizen Erased,21,153.65
Pink Floyd,The Happiest Days of Our Lives,21,38.5
Stephen Rippy,Basura! Basura!,21,59.15
Stephen Rippy,Drizzle (Firelight Smoove Mix),21,55.65
The Smashing Pumpkins,Zero,21,56.0
U2,Pride (in the Name of Love),21,79.45
U2,Sunday Bloody Sunday,21,98.0
Alexander Brandon,NYC Streets 1,20,63.333
Amon Tobin,Displaced,20,139.333
Christopher Larkin,Hollow Knight,20,32.0
Jesper Kyd,Before the Storm,20,53.333
Jesper Kyd,Vegas,20,130.667
Joy Division,Disorder,20,69.667
Kevin McMullan,Seamus &amp; Chamois,20,72.0
Kevin McMullan,The Bovinian Derivative,20,63.667
Kevin McMullan,Tide Me Over Warm 'em Ups,20,61.333
Led Zeppelin,Black Dog,20,98.333
Mick Gordon,Hell On Earth,20,100.667
Pink Floyd,Interstellar Overdrive,20,193.333
Rage Against the Machine,How I Could Just Kill a Man,20,81.333
Stephen Rippy,Carne y Helado,20,15.333
Stone Temple Pilots,Interstate Love Song,20,64.333
The Police,"De Do Do Do, De Da Da Da",20,83.0
The Police,Walking In Your Footsteps,20,72.0
Tom Petty,Free Fallin',20,85.333
Alexander Brandon,Area 51,19,86.767
Christopher Larkin,Crossroads,19,46.55
Foreigner,I Want to Know What Love Is,19,96.267
Jesper Kyd,Night Time in New Orleans,19,62.383
Jethro Tull,Bourée,19,71.567
Kenta Nagata,World 1 - Princess Peach's Kingdom,19,20.9
Led Zeppelin,Ramble On,19,86.767
Loverboy,Working for the Weekend,19,69.983
Nirvana,Heart-Shaped Box,19,88.983
Rush,The Twilight Zone,19,63.017
Stephen Rippy,Pork Parts,19,48.45
Stephen Rippy,The Monkey Book,19,48.45
The Who,Pinball Wizard,19,57.0
The Who,Won't Get Fooled Again,19,161.817
Vitalis Eirich,Diamond Dragon,19,59.533
Whitesnake,Is This Love,19,89.933
Alexander Brandon,Paris Cathedral - Metro,18,115.5
Camel,Cloak and Dagger Man,18,71.1
Clinton Shorter,The Expanse Main Theme,18,19.2
Green Day,Boulevard of Broken Dreams,18,78.0
Led Zeppelin,Trampled Under Foot,18,100.8
Metallica,Enter Sandman,18,99.3
Michael McCann,G.A.R.M.,18,60.6
Mick Gordon,BFG Division 2020,18,85.8
Mick Gordon,Kalibas The Sightless Judge,18,102.9
Nazareth,Hair of the Dog,18,75.0
Pink Floyd,In the Flesh?,18,59.4
Red Hot Chili Peppers,Otherside,18,76.5
Styx,Renegades,18,77.1
Supertramp,Give a Little Bit,18,74.4
The Jimi Hendrix Experience,All Along the Watchtower,18,72.3
The Police,O My God,18,72.6
The Smashing Pumpkins,Bullet With Butterfly Wings,18,77.4
AC/DC,Thunderstruck,17,82.733
Alexander Brandon,NYC Streets 2 (Mission Eight),17,56.1
Camel,Fingertips,17,76.783
Christopher Larkin,Hornet,17,47.033
Collective Soul,Listen,17,71.683
Dire Straits,Twisting By the Pool,17,59.5
Home,Fata Morgana (Interlude),17,21.817
Jesper Kyd,Amb Zone,17,66.583
Jesper Kyd,Apocalypse,17,76.783
Jesper Kyd,Club Heaven,17,54.967
Joy Division,Transmission,17,61.767
Living Colour,Cult of Personality,17,83.3
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Lava,17,51.567
Stephen Rippy,Case in Point: Paste,17,50.433
Stephen Rippy,Tazer,17,50.15
Stone Temple Pilots,Big Empty,17,83.3
The Cars,Drive,17,66.3
The Police,Voices Inside My Head,17,66.017
The Rolling Stones,(I Can't Get No) Satisfaction,17,63.183
The Who,Behind Blue Eyes,17,62.617
Blue Öyster Cult,(Don't Fear) The Reaper,16,82.133
Daft Punk,"Harder, Better, Faster, Stronger",16,59.733
Danny Elfman,The Little Things,16,55.2
Dire Straits,Heavy Fuel,16,78.933
Foo Fighters,Everlong,16,66.667
Genesis,Firth of Fifth,16,153.067
Led Zeppelin,Misty Mountain Hop,16,74.133
Mick Gordon,Everything Is Going to Be Okay,16,39.733
Robert Prince,The Demons From Adrian's Pen,16,42.4
Ryo Nagamatsu,Title Screen,16,23.733
Scorpions,Rock You Like a Hurricane,16,68.0
The White Stripes,Icky Thump,16,68.8
"Tunç Çakır, LudoWic",Blue Room (KZ-version),16,46.4
ZZ Top,La Grange,16,61.333
Aperture Science Psychoacoustics Laboratory,Self Esteem Fund,15,52.5
Asia,Heat of the Moment,15,56.75
Audioslave,Like a Stone,15,73.5
Christopher Larkin,Fungal Wastes,15,46.0
Cream,Sunshine of Your Love,15,62.5
Dire Straits,One World,15,55.0
Foreigner,Urgent,15,67.75
Jesper Kyd,Hunter,15,102.0
Jethro Tull,Aqualung,15,99.5
Led Zeppelin,Moby Dick,15,65.0
Led Zeppelin,Stairway to Heaven,15,120.5
Ludowic,The Sandman 1,15,11.5
Ozzy Osbourne,I Don't Wanna Stop,15,59.75
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 7 - Cloud World,15,32.75
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 8 - Bowser’s World,15,31.25
Starship,We Built This City,15,74.0
Styx,Mr. Roboto,15,82.0
The Police,Darkness,15,48.25
The Police,Secret Journey,15,53.25
The Police,Tea In The Sahara,15,64.75
The Prodigy,Invaders Must Die,15,73.75
Toto,Hold the Line,15,58.75
Van Halen,Jump,15,60.25
Van Halen,Runnin With The Devil,15,53.5
Vitalis Eirich,Fleisch und Eiscreme,15,15.5
永田権太,Snow,15,44.5
永田権太,Underground,15,32.5
&quot;Weird Al&quot; Yankovic,Money for Nothing/Beverly Hillbillies,14,44.567
Aperture Science Psychoacoustics Laboratory,Cara Mia Addio,14,35.7
Camel,Chord Change,14,94.267
Genesis,Invisible Touch,14,48.767
Martin O'Donnell &amp; Michael Salvatori,Three Gates,14,63.933
Michael McCann,Distorted Reality,14,69.3
Oasis,Wonderwall,14,60.2
Pink Floyd,Pigs on the Wing (Part 2),14,20.067
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Jungle,14,30.333
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 5 - Jungle World,14,20.3
The Rolling Stones,Sympathy for the Devil,14,87.967
The Smashing Pumpkins,"Tonight, Tonight",14,59.267
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #4,13,29.033
Black Sabbath,Iron Man,13,76.7
Boston,Peace of Mind,13,65.217
David Bowie,Fame,13,56.55
Deep Purple,Smoke on the Water,13,73.233
Foreigner,Head Games,13,47.017
Hans Zimmer,The Electro Suite,13,163.8
Howard Shore,The Uruk-Hai,13,38.567
Kenta Nagata,Ground,13,38.567
Led Zeppelin,Four Sticks,13,61.75
Martin O'Donnell &amp; Michael Salvatori,Deference For Darkness,13,86.233
Martin O'Donnell &amp; Michael Salvatori,How to Get Ahead in War,13,24.267
Scorpions,No One Like You,13,51.35
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Beach,13,22.967
Stephen Rippy,Quest for Bacon,13,14.95
The Rolling Stones,Gimme Shelter,13,58.5
The Who,Who Are You,13,82.55
U2,Where the Streets Have No Name,13,62.183
&quot;Weird Al&quot; Yankovic,Canadian Idiot,12,28.6
&quot;Weird Al&quot; Yankovic,The Saga Begins,12,65.6
AC/DC,Highway to Hell,12,41.6
AC/DC,Moneytalks,12,45.0
AC/DC,You Shook Me All Night Long,12,42.0
Aperture Science Psychoacoustics Laboratory,9999999,12,38.2
Aperture Science Psychoacoustics Laboratory,Comedy = Tragedy + Time,12,41.8
Blue Öyster Cult,Sole Survivor,12,49.2
CoLD SToRAGE,Operatique,12,63.6
Coldplay,Clocks,12,61.4
Dio,Rainbow in the Dark,12,50.6
Foreigner,Juke Box Hero,12,51.8
Hans Zimmer,S.T.A.Y.,12,76.6
Howard Shore,Forth Eorlingas,12,39.0
Howard Shore,The Fields of Pelennor,12,41.2
Kansas,Carry on Wayward Son,12,64.6
Linkin Park,What I've Done,12,41.0
Nirvana,In Bloom,12,50.8
Stephen Rippy,Quest for Jam,12,12.2
System of a Down,Chop Suey!,12,42.0
The Beatles,For No One,12,23.8
The Doors,Light My Fire,12,85.0
The Police,Miss Gradenko,12,23.8
The Rolling Stones,Start Me Up,12,42.8
U2,New Year's Day,12,51.4
U2,With or Without You,12,59.0
Aperture Science Psychoacoustics Laboratory,4000 Degrees Kelvin,11,11.183
Aperture Science Psychoacoustics Laboratory,Android Hell,11,41.25
Aperture Science Psychoacoustics Laboratory,Halls Of Science 4,11,50.417
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #6,11,23.1
Aperture Science Psychoacoustics Laboratory,Science is Fun,11,28.05
Bad Company,Bad Company,11,52.8
Black Sabbath,War Pigs,11,86.717
Blue Öyster Cult,Burnin for You,11,49.683
Bon Jovi,It's My Life,11,41.067
Camel,Pressure Points,11,24.2
Hans Zimmer,Gotham's Reckoning,11,45.283
Hans Zimmer,Tears In The Rain,11,23.833
Howard Shore,Andúril,11,28.417
Howard Shore,The Black Gate Opens,11,44.183
Howard Shore,The Breaking of the Fellowship,11,80.667
Howard Shore,The Ride of the Rohirrim,11,23.467
Journey,Lights,11,34.833
Journey,Separate Ways (Worlds Apart),11,59.217
Keiki Kobayashi,Hush,11,60.867
Led Zeppelin,Heartbreaker,11,46.567
Led Zeppelin,Whole Lotta Love,11,61.233
Ludowic,The Sandman 2,11,9.717
Metallica,Wherever I May Roam,11,73.883
Michael Jackson,Billie Jean,11,53.9
Ozzy Osbourne,Bark at the Moon,11,47.117
Pearl Jam,Even Flow,11,53.717
Ratt,Round and Round,11,48.583
Stephen Rippy,Quest For Butter,11,11.183
Stephen Rippy,Quest for Eggs,11,13.383
Sting,Desert Rose,11,52.25
Tears for Fears,Everybody Wants to Rule the World,11,46.017
The Smashing Pumpkins,Cherub Rock,11,54.45
UK,In The Dead Of Night,11,61.233
