Date,Plays
2021-05-03,102
2021-05-04,78
2021-05-05,76
2021-05-06,95
2021-05-07,85
2021-05-08,35
2021-05-09,75
2021-05-10,143
2021-05-11,127
2021-05-12,38
2021-05-13,89
2021-05-14,60
2021-05-15,54
2021-05-16,91
2021-05-17,47
2021-05-18,65
2021-05-19,24
2021-05-20,41
2021-05-21,50
2021-05-22,28
2021-05-23,76
2021-05-24,96
2021-05-25,65
2021-05-26,129
2021-05-27,124
2021-05-28,115
2021-05-29,56
2021-05-30,92
2021-05-31,32
2021-06-01,90
2021-06-02,87
2021-06-03,131
2021-06-04,48
2021-06-05,35
2021-06-06,67
2021-06-07,29
2021-06-08,41
2021-06-09,129
2021-06-10,7
2021-06-11,41
2021-06-12,13
2021-06-13,14
2021-06-14,21
2021-06-15,21
2021-06-16,26
2021-06-17,18
2021-06-18,3
2021-06-19,30
2021-06-20,19
2021-06-21,13
2021-06-22,21
2021-06-23,17
2021-06-24,10
2021-06-25,2
2021-06-26,31
2021-06-27,23
2021-06-28,29
2021-06-29,12
2021-06-30,3
2021-07-01,5
2021-07-02,47
2021-07-03,48
2021-07-04,10
2021-07-05,20
2021-07-06,22
2021-07-07,42
2021-07-08,43
2021-07-09,45
2021-07-10,54
2021-07-11,33
2021-07-12,17
2021-07-13,6
2021-07-14,18
2021-07-15,38
2021-07-16,37
2021-07-17,
2021-07-18,
2021-07-19,26
2021-07-20,48
2021-07-21,20
2021-07-22,41
2021-07-23,24
2021-07-24,47
2021-07-25,1
2021-07-26,29
2021-07-27,47
2021-07-28,41
2021-07-29,39
2021-07-30,2
2021-07-31,107
2021-08-01,96
2021-08-02,73
2021-08-03,46
2021-08-04,27
2021-08-05,17
2021-08-06,74
2021-08-07,125
2021-08-08,40
2021-08-09,2
2021-08-10,2
2021-08-11,13
2021-08-12,20
2021-08-13,21
2021-08-14,7
2021-08-15,65
2021-08-16,70
2021-08-17,26
2021-08-18,17
2021-08-19,61
2021-08-20,50
2021-08-21,34
2021-08-22,75
2021-08-23,24
2021-08-24,32
2021-08-25,25
2021-08-26,25
2021-08-27,38
2021-08-28,12
2021-08-29,39
2021-08-30,23
2021-08-31,54
2021-09-01,20
2021-09-02,49
2021-09-03,41
2021-09-04,71
2021-09-05,97
2021-09-06,103
2021-09-07,50
2021-09-08,16
2021-09-09,55
2021-09-10,41
2021-09-11,45
2021-09-12,69
2021-09-13,24
2021-09-14,38
2021-09-15,27
2021-09-16,24
2021-09-17,22
2021-09-18,17
2021-09-19,111
2021-09-20,42
2021-09-21,62
2021-09-22,14
2021-09-23,39
2021-09-24,56
2021-09-25,76
2021-09-26,140
2021-09-27,81
2021-09-28,96
2021-09-29,53
2021-09-30,54
2021-10-01,37
2021-10-02,29
2021-10-03,68
2021-10-04,67
2021-10-05,61
2021-10-06,103
2021-10-07,36
2021-10-08,33
2021-10-09,26
2021-10-10,118
2021-10-11,57
2021-10-12,30
2021-10-13,29
2021-10-14,19
2021-10-15,52
2021-10-16,43
2021-10-17,70
2021-10-18,58
2021-10-19,26
2021-10-20,22
2021-10-21,52
2021-10-22,30
2021-10-23,12
2021-10-24,90
2021-10-25,68
2021-10-26,72
2021-10-27,16
2021-10-28,50
2021-10-29,53
2021-10-30,59
2021-10-31,86
2021-11-01,60
2021-11-02,78
2021-11-03,40
2021-11-04,58
2021-11-05,69
2021-11-06,34
2021-11-07,104
2021-11-08,54
2021-11-09,55
2021-11-10,162
2021-11-11,117
2021-11-12,10
2021-11-13,
2021-11-14,60
2021-11-15,34
2021-11-16,33
2021-11-17,27
2021-11-18,51
2021-11-19,11
2021-11-20,44
2021-11-21,55
2021-11-22,50
2021-11-23,67
2021-11-24,19
2021-11-25,27
2021-11-26,17
2021-11-27,63
2021-11-28,85
2021-11-29,24
2021-11-30,24
2021-12-01,77
2021-12-02,55
2021-12-03,60
2021-12-04,13
2021-12-05,21
2021-12-06,54
2021-12-07,58
2021-12-08,42
2021-12-09,6
2021-12-10,48
2021-12-11,52
2021-12-12,30
2021-12-13,33
2021-12-14,41
2021-12-15,14
2021-12-16,4
2021-12-17,49
2021-12-18,49
2021-12-19,9
2021-12-20,38
